Country,FAO.ID,Year,SE,BioPhysical,HIndex
Afghanistan,2,1992,NA,0.334,41
Afghanistan,2,1993,NA,0.334,41
Afghanistan,2,1994,NA,0.334,41
Afghanistan,2,1995,NA,0.334,41
Afghanistan,2,1996,NA,0.334,41
Afghanistan,2,1997,NA,0.334,41
Afghanistan,2,1998,NA,0.334,41
Afghanistan,2,1999,NA,0.334,41
Afghanistan,2,2000,NA,0.334,41
Afghanistan,2,2001,NA,0.334,41
Afghanistan,2,2002,NA,0.291771482,41
Afghanistan,2,2003,NA,0.334,41
Afghanistan,2,2004,NA,0.334,41
Afghanistan,2,2005,NA,0.334,41
Afghanistan,2,2006,NA,0.334,41
Afghanistan,2,2007,NA,0.307764271,40
Afghanistan,2,2008,NA,0.327530258,40
Afghanistan,2,2009,NA,0.295716399,41
Afghanistan,2,2010,NA,0.289782022,41
Afghanistan,2,2011,NA,0.308587251,41
Albania,3,1992,0.006599083,0.659827157,53
Albania,3,1993,0.01132151,0.715510408,52
Albania,3,1994,0.017237253,0.746665781,52
Albania,3,1995,0.020773319,0.696842286,53
Albania,3,1996,0.02590085,0.693719227,53
Albania,3,1997,0.019326951,0.679996273,54
Albania,3,1998,0.023860388,0.676594361,53
Albania,3,1999,0.027474574,0.644248611,53
Albania,3,2000,0.029255283,0.635526182,53
Albania,3,2001,0.032340739,0.633571208,53
Albania,3,2002,0.034226798,0.616562457,54
Albania,3,2003,0.043489681,0.618935572,55
Albania,3,2004,0.0525702,0.603257368,58
Albania,3,2005,0.061755645,0.635095932,58
Albania,3,2006,0.067715026,0.593703357,60
Albania,3,2007,0.079229485,0.591686939,60
Albania,3,2008,0.090975564,0.592885862,60
Albania,3,2009,0.0820689,0.58711237,60
Albania,3,2010,0.082672861,0.583191347,60
Albania,3,2011,0.082595863,0.598395179,60
Algeria,4,1992,NA,0.711778187,56
Algeria,4,1993,NA,0.598958682,55
Algeria,4,1994,NA,0.521682349,54
Algeria,4,1995,NA,0.646203169,54
Algeria,4,1996,NA,0.68502064,54
Algeria,4,1997,NA,0.491867935,55
Algeria,4,1998,NA,0.706512742,58
Algeria,4,1999,NA,0.545332028,57
Algeria,4,2000,NA,0.481148168,57
Algeria,4,2001,NA,0.585372163,57
Algeria,4,2002,NA,0.535043549,57
Algeria,4,2003,NA,0.576598345,57
Algeria,4,2004,NA,0.598782373,57
Algeria,4,2005,NA,0.538242068,57
Algeria,4,2006,NA,0.535486929,57
Algeria,4,2007,NA,0.5641909,57
Algeria,4,2008,NA,0.460634566,57
Algeria,4,2009,NA,0.501108495,56
Algeria,4,2010,NA,0.510035364,55
Algeria,4,2011,NA,0.448524959,56
American Samoa,5,1992,NA,NA,NA
American Samoa,5,1993,NA,NA,NA
American Samoa,5,1994,NA,NA,NA
American Samoa,5,1995,NA,NA,NA
American Samoa,5,1996,NA,NA,NA
American Samoa,5,1997,NA,NA,NA
American Samoa,5,1998,NA,NA,NA
American Samoa,5,1999,NA,NA,NA
American Samoa,5,2000,NA,NA,NA
American Samoa,5,2001,NA,NA,NA
American Samoa,5,2002,NA,NA,NA
American Samoa,5,2003,NA,NA,NA
American Samoa,5,2004,NA,NA,NA
American Samoa,5,2005,NA,NA,NA
American Samoa,5,2006,NA,NA,NA
American Samoa,5,2007,NA,NA,NA
American Samoa,5,2008,NA,NA,NA
American Samoa,5,2009,NA,NA,NA
American Samoa,5,2010,NA,NA,NA
American Samoa,5,2011,NA,NA,NA
Andorra,6,1992,NA,NA,NA
Andorra,6,1993,NA,NA,NA
Andorra,6,1994,NA,NA,NA
Andorra,6,1995,NA,NA,NA
Andorra,6,1996,NA,NA,NA
Andorra,6,1997,NA,NA,NA
Andorra,6,1998,NA,NA,NA
Andorra,6,1999,NA,NA,NA
Andorra,6,2000,NA,NA,NA
Andorra,6,2001,NA,NA,NA
Andorra,6,2002,NA,NA,NA
Andorra,6,2003,NA,NA,NA
Andorra,6,2004,NA,NA,NA
Andorra,6,2005,NA,NA,NA
Andorra,6,2006,NA,NA,NA
Andorra,6,2007,NA,NA,NA
Andorra,6,2008,NA,NA,NA
Andorra,6,2009,NA,NA,NA
Andorra,6,2010,NA,NA,NA
Andorra,6,2011,NA,NA,NA
Angola,7,1992,0.00801548,1,31
Angola,7,1993,0.006870676,1,31
Angola,7,1994,0.004726589,1,31
Angola,7,1995,0.007409635,1,31
Angola,7,1996,0.007777309,1,31
Angola,7,1997,0.008001129,1,31
Angola,7,1998,0.006474983,1,31
Angola,7,1999,0.005462573,1,31
Angola,7,2000,0.003229543,1,33
Angola,7,2001,0.007276344,1,33
Angola,7,2002,0.009984406,1,33
Angola,7,2003,0.010261457,1,33
Angola,7,2004,0.012058536,1,33
Angola,7,2005,0.016826756,1,33
Angola,7,2006,0.021621204,1,33
Angola,7,2007,0.029198936,1,33
Angola,7,2008,0.03399071,1,33
Angola,7,2009,0.035539909,1,33
Angola,7,2010,0.030180196,1,33
Angola,7,2011,0.033869555,1,33
Anguilla,258,1992,NA,NA,NA
Anguilla,258,1993,NA,NA,NA
Anguilla,258,1994,NA,NA,NA
Anguilla,258,1995,NA,NA,NA
Anguilla,258,1996,NA,NA,NA
Anguilla,258,1997,NA,NA,NA
Anguilla,258,1998,NA,NA,NA
Anguilla,258,1999,NA,NA,NA
Anguilla,258,2000,NA,NA,NA
Anguilla,258,2001,NA,NA,NA
Anguilla,258,2002,NA,NA,NA
Anguilla,258,2003,NA,NA,NA
Anguilla,258,2004,NA,NA,NA
Anguilla,258,2005,NA,NA,NA
Anguilla,258,2006,NA,NA,NA
Anguilla,258,2007,NA,NA,NA
Anguilla,258,2008,NA,NA,NA
Anguilla,258,2009,NA,NA,NA
Anguilla,258,2010,NA,NA,NA
Anguilla,258,2011,NA,NA,NA
Antarctica,30,1992,NA,NA,NA
Antarctica,30,1993,NA,NA,NA
Antarctica,30,1994,NA,NA,NA
Antarctica,30,1995,NA,NA,NA
Antarctica,30,1996,NA,NA,NA
Antarctica,30,1997,NA,NA,NA
Antarctica,30,1998,NA,NA,NA
Antarctica,30,1999,NA,NA,NA
Antarctica,30,2000,NA,NA,NA
Antarctica,30,2001,NA,NA,NA
Antarctica,30,2002,NA,NA,NA
Antarctica,30,2003,NA,NA,NA
Antarctica,30,2004,NA,NA,NA
Antarctica,30,2005,NA,NA,NA
Antarctica,30,2006,NA,NA,NA
Antarctica,30,2007,NA,NA,NA
Antarctica,30,2008,NA,NA,NA
Antarctica,30,2009,NA,NA,NA
Antarctica,30,2010,NA,NA,NA
Antarctica,30,2011,NA,NA,NA
Antigua and Barbuda,8,1992,NA,NA,NA
Antigua and Barbuda,8,1993,NA,NA,NA
Antigua and Barbuda,8,1994,NA,NA,NA
Antigua and Barbuda,8,1995,NA,NA,NA
Antigua and Barbuda,8,1996,NA,NA,NA
Antigua and Barbuda,8,1997,NA,NA,NA
Antigua and Barbuda,8,1998,NA,NA,NA
Antigua and Barbuda,8,1999,NA,NA,NA
Antigua and Barbuda,8,2000,NA,NA,NA
Antigua and Barbuda,8,2001,NA,NA,NA
Antigua and Barbuda,8,2002,NA,NA,NA
Antigua and Barbuda,8,2003,NA,NA,NA
Antigua and Barbuda,8,2004,NA,NA,NA
Antigua and Barbuda,8,2005,NA,NA,NA
Antigua and Barbuda,8,2006,NA,NA,NA
Antigua and Barbuda,8,2007,NA,NA,NA
Antigua and Barbuda,8,2008,NA,NA,NA
Antigua and Barbuda,8,2009,NA,NA,NA
Antigua and Barbuda,8,2010,NA,NA,NA
Antigua and Barbuda,8,2011,NA,NA,NA
Argentina,9,1992,0.12581507,1,70
Argentina,9,1993,0.125456518,1,70
Argentina,9,1994,0.154048514,1,70
Argentina,9,1995,0.131692772,1,70
Argentina,9,1996,0.12815656,1,70
Argentina,9,1997,0.147222796,1,69
Argentina,9,1998,0.144813091,1,69
Argentina,9,1999,0.129878045,1,69
Argentina,9,2000,0.119402475,1,69
Argentina,9,2001,0.090409082,1,69
Argentina,9,2002,0.034043895,1,69
Argentina,9,2003,0.039966471,1,69
Argentina,9,2004,0.050178582,1,69
Argentina,9,2005,0.065602413,0.997110955,69
Argentina,9,2006,0.074519545,1,69
Argentina,9,2007,0.095873221,1,69
Argentina,9,2008,0.111617785,1,69
Argentina,9,2009,0.10881552,1,69
Argentina,9,2010,0.144194363,0.854049661,69
Argentina,9,2011,0.171200267,0.97831636,69
Armenia,1,1992,0.007505236,0.475962633,39
Armenia,1,1993,0.007614792,0.522800207,38
Armenia,1,1994,0.008458324,0.552529467,37
Armenia,1,1995,0.009957402,0.534615174,37
Armenia,1,1996,0.008182215,0.560632633,37
Armenia,1,1997,0.012709813,0.601934616,38
Armenia,1,1998,0.015248801,0.595034621,38
Armenia,1,1999,0.013203431,0.587739405,38
Armenia,1,2000,0.015103459,0.602411776,38
Armenia,1,2001,0.015357402,0.597590251,39
Armenia,1,2002,0.017747786,0.586830585,38
Armenia,1,2003,0.02206105,0.620535491,41
Armenia,1,2004,0.02222604,0.591012202,41
Armenia,1,2005,0.033177559,0.615111624,41
Armenia,1,2006,0.04250453,0.611333275,41
Armenia,1,2007,0.061094289,0.575961165,46
Armenia,1,2008,0.071688555,0.589401818,45
Armenia,1,2009,0.058067005,0.577468078,45
Armenia,1,2010,0.061909427,0.575266029,45
Armenia,1,2011,0.060012136,0.560555904,45
Aruba,22,1992,NA,NA,NA
Aruba,22,1993,NA,NA,NA
Aruba,22,1994,NA,NA,NA
Aruba,22,1995,NA,NA,NA
Aruba,22,1996,NA,NA,NA
Aruba,22,1997,NA,NA,NA
Aruba,22,1998,NA,NA,NA
Aruba,22,1999,NA,NA,NA
Aruba,22,2000,NA,NA,NA
Aruba,22,2001,NA,NA,NA
Aruba,22,2002,NA,NA,NA
Aruba,22,2003,NA,NA,NA
Aruba,22,2004,NA,NA,NA
Aruba,22,2005,NA,NA,NA
Aruba,22,2006,NA,NA,NA
Aruba,22,2007,NA,NA,NA
Aruba,22,2008,NA,NA,NA
Aruba,22,2009,NA,NA,NA
Aruba,22,2010,NA,NA,NA
Aruba,22,2011,NA,NA,NA
Australia,10,1992,0.655317623,1,78
Australia,10,1993,0.616852991,1,80
Australia,10,1994,0.594924503,1,78
Australia,10,1995,0.641274882,1,77
Australia,10,1996,0.697617218,1,77
Australia,10,1997,0.786985507,1,78
Australia,10,1998,0.710666429,1,79
Australia,10,1999,0.626472901,1,78
Australia,10,2000,0.656789108,1,78
Australia,10,2001,0.575733876,1,78
Australia,10,2002,0.588994425,1,78
Australia,10,2003,0.685030311,1,79
Australia,10,2004,0.8100363,1,79
Australia,10,2005,0.922114102,1,79
Australia,10,2006,0.886734859,1,80
Australia,10,2007,0.992173902,1,78
Australia,10,2008,1.107136256,1,79
Australia,10,2009,0.95075491,1,79
Australia,10,2010,1.186743072,1,78
Australia,10,2011,1.314765584,1,79
Austria,11,1992,1.07571861,0.990181811,54
Austria,11,1993,1.015386565,0.969101886,54
Austria,11,1994,0.957308416,0.947421203,54
Austria,11,1995,0.982004218,0.919085742,56
Austria,11,1996,1.097034451,0.951216747,56
Austria,11,1997,1.028307844,0.888378601,58
Austria,11,1998,1.026207176,0.886900568,57
Austria,11,1999,0.922536266,0.858392387,57
Austria,11,2000,0.891366402,0.94177735,58
Austria,11,2001,0.79936855,0.892549317,59
Austria,11,2002,0.859179639,0.886592577,59
Austria,11,2003,1.02874301,0.919833134,65
Austria,11,2004,1.196271673,0.808788926,66
Austria,11,2005,1.157268799,0.855654906,66
Austria,11,2006,1.140762786,0.88120424,66
Austria,11,2007,1.269769543,0.886286114,66
Austria,11,2008,1.243480434,0.787240481,66
Austria,11,2009,1.17660832,0.86386276,66
Austria,11,2010,1.179906148,0.854665266,67
Austria,11,2011,1.202282155,0.679817317,66
Azerbaijan,52,1992,0.018615855,0.848911444,50
Azerbaijan,52,1993,0.015396565,0.86581233,51
Azerbaijan,52,1994,0.012593295,0.838146433,51
Azerbaijan,52,1995,0.008231225,0.822243089,51
Azerbaijan,52,1996,0.012498714,0.856904597,51
Azerbaijan,52,1997,0.016866213,0.870244811,52
Azerbaijan,52,1998,0.019329697,0.876582028,59
Azerbaijan,52,1999,0.018684355,0.882763875,59
Azerbaijan,52,2000,0.021851135,0.907939591,60
Azerbaijan,52,2001,0.015084208,0.902547897,60
Azerbaijan,52,2002,0.027902276,0.914764611,59
Azerbaijan,52,2003,0.030235906,0.904248674,59
Azerbaijan,52,2004,0.035060404,0.913329254,61
Azerbaijan,52,2005,0.053535603,0.904398082,59
Azerbaijan,52,2006,0.071981097,0.89804232,60
Azerbaijan,52,2007,0.112961167,0.873672984,62
Azerbaijan,52,2008,0.089621551,0.890012538,62
Azerbaijan,52,2009,0.13553778,0.948627521,63
Azerbaijan,52,2010,0.163130429,0.972132495,63
Azerbaijan,52,2011,0.205848835,0.921027969,63
Bahamas,12,1992,NA,0,NA
Bahamas,12,1993,NA,0,NA
Bahamas,12,1994,NA,0,NA
Bahamas,12,1995,NA,0,NA
Bahamas,12,1996,NA,0,NA
Bahamas,12,1997,NA,0,NA
Bahamas,12,1998,NA,0,NA
Bahamas,12,1999,NA,0,NA
Bahamas,12,2000,NA,0,NA
Bahamas,12,2001,NA,0,NA
Bahamas,12,2002,NA,0,NA
Bahamas,12,2003,NA,0,NA
Bahamas,12,2004,NA,0,NA
Bahamas,12,2005,NA,0,NA
Bahamas,12,2006,NA,0,NA
Bahamas,12,2007,NA,0,NA
Bahamas,12,2008,NA,0,NA
Bahamas,12,2009,NA,0,NA
Bahamas,12,2010,NA,0,NA
Bahamas,12,2011,NA,0,NA
Bahrain,13,1992,NA,NA,29
Bahrain,13,1993,NA,NA,29
Bahrain,13,1994,NA,NA,29
Bahrain,13,1995,NA,NA,29
Bahrain,13,1996,NA,NA,29
Bahrain,13,1997,NA,NA,28
Bahrain,13,1998,NA,NA,29
Bahrain,13,1999,NA,NA,28
Bahrain,13,2000,NA,NA,28
Bahrain,13,2001,NA,NA,28
Bahrain,13,2002,NA,NA,29
Bahrain,13,2003,NA,NA,26
Bahrain,13,2004,NA,NA,27
Bahrain,13,2005,NA,NA,28
Bahrain,13,2006,NA,NA,29
Bahrain,13,2007,NA,NA,30
Bahrain,13,2008,NA,NA,29
Bahrain,13,2009,NA,NA,30
Bahrain,13,2010,NA,NA,30
Bahrain,13,2011,NA,NA,30
Bangladesh,16,1992,0.010453559,0.188475533,48
Bangladesh,16,1993,0.010163636,0.177413131,49
Bangladesh,16,1994,0.009432961,0.187382818,50
Bangladesh,16,1995,0.010145058,0.175158582,50
Bangladesh,16,1996,0.009902154,0.167485418,50
Bangladesh,16,1997,0.010973184,0.166213008,51
Bangladesh,16,1998,0.011061147,0.14799006,51
Bangladesh,16,1999,0.010216412,0.138405662,51
Bangladesh,16,2000,0.009959068,0.120665973,52
Bangladesh,16,2001,0.00994148,0.122835528,53
Bangladesh,16,2002,0.009960787,0.118358058,52
Bangladesh,16,2003,0.010565248,0.111026334,52
Bangladesh,16,2004,0.010330297,0.10842724,52
Bangladesh,16,2005,0.011087171,0.093896958,53
Bangladesh,16,2006,0.011988355,0.091745234,53
Bangladesh,16,2007,0.012837191,0.076062636,53
Bangladesh,16,2008,0.013148948,0.087431803,53
Bangladesh,16,2009,0.014891799,0.074480784,52
Bangladesh,16,2010,0.016981792,0.061120614,51
Bangladesh,16,2011,0.016730786,0.062069529,52
Barbados,14,1992,NA,NA,NA
Barbados,14,1993,NA,NA,NA
Barbados,14,1994,NA,NA,NA
Barbados,14,1995,NA,NA,NA
Barbados,14,1996,NA,NA,NA
Barbados,14,1997,NA,NA,NA
Barbados,14,1998,NA,NA,NA
Barbados,14,1999,NA,NA,NA
Barbados,14,2000,NA,NA,NA
Barbados,14,2001,NA,NA,NA
Barbados,14,2002,NA,NA,NA
Barbados,14,2003,NA,NA,NA
Barbados,14,2004,NA,NA,NA
Barbados,14,2005,NA,NA,NA
Barbados,14,2006,NA,NA,NA
Barbados,14,2007,NA,NA,NA
Barbados,14,2008,NA,NA,NA
Barbados,14,2009,NA,NA,NA
Barbados,14,2010,NA,NA,NA
Barbados,14,2011,NA,NA,NA
Belarus,57,1992,0.064215116,1,37
Belarus,57,1993,0.067019457,1,37
Belarus,57,1994,0.04907445,1,37
Belarus,57,1995,0.039590078,1,38
Belarus,57,1996,0.044533702,1,38
Belarus,57,1997,0.043793542,1,38
Belarus,57,1998,0.044964478,1,39
Belarus,57,1999,0.031722835,1,39
Belarus,57,2000,0.032509925,1,39
Belarus,57,2001,0.032503318,1,39
Belarus,57,2002,0.037096236,1,39
Belarus,57,2003,0.048254505,1,45
Belarus,57,2004,0.064066895,1,46
Belarus,57,2005,0.080414311,1,46
Belarus,57,2006,0.092197901,1,47
Belarus,57,2007,0.110507582,1,46
Belarus,57,2008,0.140069298,1,47
Belarus,57,2009,0.113424094,1,46
Belarus,57,2010,0.126347661,1,46
Belarus,57,2011,0.117532701,1,46
Belgium-Luxembourg,15,1992,NA,NA,47
Belgium-Luxembourg,15,1993,NA,NA,50
Belgium-Luxembourg,15,1994,NA,NA,48
Belgium-Luxembourg,15,1995,NA,NA,48
Belgium-Luxembourg,15,1996,NA,NA,48
Belgium-Luxembourg,15,1997,NA,NA,46
Belgium-Luxembourg,15,1998,NA,NA,47
Belgium-Luxembourg,15,1999,NA,NA,NA
Belgium-Luxembourg,15,2000,NA,NA,NA
Belgium-Luxembourg,15,2001,NA,NA,NA
Belgium-Luxembourg,15,2002,NA,NA,NA
Belgium-Luxembourg,15,2003,NA,NA,NA
Belgium-Luxembourg,15,2004,NA,NA,NA
Belgium-Luxembourg,15,2005,NA,NA,NA
Belgium-Luxembourg,15,2006,NA,NA,NA
Belgium-Luxembourg,15,2007,NA,NA,NA
Belgium-Luxembourg,15,2008,NA,NA,NA
